Köy1;Köy2;Mesafe
Aliköy;Küçükhacılar;1
Aliköy;Isparta Merkez;11
Aliköy;Kuleönü;11
Aliköy;Küçükgökçeli;16
Aliköy;Büyükgökçeli;21
Aliköy;Harmanören;22
Aliköy;Beydere;31
Aliköy;Eğirdir;32
Aliköy;Yazısöğüt;5
Aliköy;Bozanönü;10
Aliköy;Sevinçbey;28
Küçükhacılar;Büyükhacılar;4
Küçükhacılar;Yazısöğüt;6
Küçükhacılar;Isparta Merkez;10
Küçükhacılar;Savköy;7
Büyükhacılar;Savköy;6
Büyükhacılar;Yazısöğüt;5
Büyükhacılar;Isparta Merkez;9
Büyükhacılar;Çobanisamerkez;11
Yazısöğüt;Savköy;4
Yazısöğüt;Isparta Merkez;5
Yazısöğüt;Aliköy;6
Savköy;Direkli;12
Savköy;Kadılar;8
Savköy;Küçükkışla;10
Savköy;Kışlaköy;23
Savköy;Darıören;17
Savköy;Güneyce;23
Direkli;Darıderesi;16
Direkli;Kadılar;4
Direkli;Isparta Merkez;12
Kadılar;Kışlaköy;13
Kadılar;Küçükkışla;5
Kadılar;Darıören;22
Kadılar;Güneyce;16
Küçükkışla;Darıören;19
Küçükkışla;Kışlaköy;16
Kışlaköy;Güneyce;10
Kışlaköy;Darıören;16
Güneyce;Darıören;9
Güneyce;Çukurköy;9
Çukurköy;Yukarıgökdere;12
Yukarıgökdere;Kırıntı;7
Yukarıgökdere;Serpilköy;7
Yukarıgökdere;Eyüpler;11
Yukarıgökdere;Tepeli;12
Yukarıgökdere;Balkırı;14
Yukarıgökdere;Bademli;30
Yukarıgökdere;Bağlar;20
Yukarıgökdere;Yeni;21
Serpilköy;Eyüpler;9
Serpilköy;Kırıntı;10
Serpilköy;Yuvalı;12
Serpilköy;Tepeli;9
Serpilköy;Balkırı;11
Yuvalı;Sipahiler;9
Yuvalı;Akdoğan;10
Serpilköy;Bağlar;17
Serpilköy;Yeni;18
Eyüpler;Kırıntı;14
Eyüpler;Tepeli;4
Eyüpler;Balkırı;3
Eyüpler;Bademli;28
Eyüpler;Bağlar;10
Eyüpler;Yeni;10
Tepeli;Balkırı;5
Tepeli;Akdoğan;6
Tepeli;Yuvalı;11
Tepeli;Bağlar;9
Tepeli;Yeni;10
Tepeli;Kırıntı;14
Balkırı;Bağlar;8
Balkırı;Yeni;9
Balkırı;Sevinçbey;20
Balkırı;Bademli;16
Balkırı;Eğirdir;19
Balkırı;Kırıntı;18
Ağılköy;Çayköy;4
Ağılköy;Akdoğan;7
Ağılköy;Yılanlı;11
Ağılköy;Bağlar;6
Yeni;Bağlar;3
Yeni;Akpınar;4
Yeni;Eğirdir;2
Kuleönü;Senirce;10
Kuleönü;Bayat;2
Kuleönü;Küçükgökçeli;8
Kuleönü;Büyükgökçeli;12
Kuleönü;Harmanören;14
Kuleönü;Beydere;23
Kuleönü;Sevinçbey;19
Kuleönü;Eğirdir;24
Kuleönü;Bağören ;31
Kuleönü;Barla;32
Kuleönü;Isparta Merkez;15
Küçükgökçeli;Büyükgökçeli;5
Küçükgökçeli;Harmanören;7
Küçükgökçeli;Sevinçbey;12
Küçükgökçeli;Eğirdir;17
Küçükgökçeli;Beydere;16
Küçükgökçeli;Bağören;24
Küçükgökçeli;Barla;25
Küçükgökçeli;Isparta Merkez;20
Büyükgökçeli;Harmanören;6
Büyükgökçeli;Sevinçbey;11
Büyükgökçeli;Bademli;6
Büyükgökçeli;Çobanisamerkez;9
Büyükgökçeli;Eğirdir;16
Büyükgökçeli;Beydere;14
Büyükgökçeli;Bağören;23
Büyükgökçeli;Barla;24
Büyükgökçeli;Isparta Merkez;25
Sevinçbey;Bademli;5
Sevinçbey;Eğirdir;7
Sevinçbey;Harmanören;13
Sevinçbey;Beydere;21
Sevinçbey;Bağören;29
Sevinçbey;Barla;30
Sevinçbey;Isparta Merkez;32
Bademli;Çobanisamerkez;7
Eğirdir;Beydere;13
Eğirdir;Bağören;21
Eğirdir;Barla;22
Eğirdir;Harmanören;17
Eğirdir;Isparta Merkez;36
Harmanören;İslamköy;5
Harmanören;Pembeli;4
Harmanören;Atabey;8
Harmanören;Beydere;9
Harmanören;Bağören;25
Harmanören;Barla;25
Harmanören;Isparta Merkez;26
Pembeli;İslamköy;5
Pembeli;Atabey;5
Pembeli;Beydere;9
Atabey;Bayat;8
Atabey;İslamköy;4
Atabey;Kapıcak;7
Atabey;Gönen;14
Gönen;Kasap;2
Gönen;Kızılcık;6
Gönen;Bozanönü;13
Gönen;Isparta Merkez;24
Gönen;İğdecik;8
Gönen;Koçtepe;16
Gönen;Gölbaşı;18
Gönen;Keçiborlu;27
Gönen;Kozluca;31
Gönen;Kaplanlı;34
Gönen;Aydoğmuş;35
Gönen;Kılıç;27
Gönen;Güneykent;14
Gönen;Senirce;8
Gönen;Kayıköy;21
Gönen;Yeşilyurt;34
Bozanönü;Isparta Merkez;13
Bozanönü;Kuleönü;7
Senirce;Bozanönü;6
Senirce;Koçtepe;8
Senirce;Kayıköy;13
Senirce;Isparta Merkez;16
Senirce;İğdecik;12
Senirce;Gölbaşı;19
Senirce;Kılıç;28
Senirce;Keçiborlu;28
Senirce;Kaplanlı;35
Senirce;Yeşilyurt;35
Senirce;Aydoğmuş;36
Senirce;Kozluca;32
İğdecik;Koçtepe;10
İğdecik;Gölbaşı;12
İğdecik;Kayıköy;21
İğdecik;Isparta Merkez;24
İğdecik;Güneykent;10
İğdecik;Kılıç;22
İğdecik;Keçiborlu;21
İğdecik;Kozluca;25
İğdecik;Kaplanlı;29
İğdecik;Aydoğmuş;29
İğdecik;Yeşilyurt;28
Koçtepe;Kayıköy;12
Koçtepe;Gölbaşı;7
Koçtepe;Isparta Merkez;18
Koçtepe;Kılıç;20
Koçtepe;Kozluca;24
Koçtepe;Keçiborlu;20
Koçtepe;Kaplanlı;27
Koçtepe;Aydoğmuş;28
Koçtepe;Yeşilyurt;27
Gölbaşı;Kılıç;19
Gölbaşı;Kozluca;22
Gölbaşı;Keçiborlu;18
Gölbaşı;Kaplanlı;25
Gölbaşı;Aydoğmuş;26
Gölbaşı;Yeşilyurt;25
Kayıköy;Deregümü;4
Kayıköy;Isparta Merkez;10
Deregümü;Isparta Merkez;6
Deregümü;Yakaören;4
Yakaören;Gelincik;7
Yakaören;Isparta Merkez;8
Gelincik;Isparta Merkez;12
Kılıç;Kozluca;11
Kılıç;Keçiborlu;8
Kılıç;Kaplanlı;14
Kılıç;Aydoğmuş;15
Kılıç;Yeşilyurt;14
Kılıç;Kuyucak;7
Kılıç;Senir;7
Yeşilyurt;Yenitepe;3
Yeşilyurt;Kuyucak;9
Kuyucak;Ardıçlı;12
Kuyucak;Senir;8
Kuyucak;Çukurören;9
Senir;Ardıçlı;9
Senir;Çukurören;14
Ardıçlı;Saracık;6
Ardıçlı;Çukurören;12
Saracık;Çukurören;7
Çukurören;Gülköy;7
Gülköy;Kavakköy;2
Gülköy;Kozluca;8
Kavakköy;Kaplanlı;8
Kapanlı;Aydoğmuş;4
Kapanlı;Kozluca;8
Kozluca;Yeşilyurt;10
Kozluca;Yenitepe;11
Kozluca;Aydoğmuş;7
Aydoğmuş;Keçiborlu;7
Aydoğmuş;Kılıç;15
Keçiborlu;İncesu;10
Keçiborlu;Özbahçe;10
Keçiborlu;Kozluca;11
Keçiborlu;Güneykent;10
Keçiborlu;Yenitepe;15
Keçiborlu;Yeşilyurt;14
İncesu;Özbahçe;11
Özbahçe;İleydağı;10
İleydağı;Uluborlu;7
İleydağı;İnhisar;10
Uluborlu;İnhisar;8
Uluborlu;Dereköyü;6
Uluborlu;Küçükkabaca;7
Uluborlu;Senirkent;10
İnhisar;Dereköyü;10
Dereköyü;Küçükkabaca;4
Küçükkabaca;Senirkent;7
Küçükkabaca;Uluğbey;5
Uluğbey;Senirkent;4
Uluğbey;Başköy;10
Senirkent;Başköy;10
Senirkent;Yassıören;5
Senirkent;Ortayazı;10
Senirkent;Büyükkabaca;12
Başköy;Büyükkabaca;5
Başköy;Ortayazı;18
Başköy;Gençali;25
Büyükkabaca;Gençali;10
Büyükkabaca;Ortayazı;7
Büyükkabaca;Yassıören;10
Büyükkabaca;Garip;9
Büyükkabaca;Akkeçili;20
Büyükkabaca;Eskigençali;13
Yassıören;Ortayazı;5
Başköy;Yassıören;14
Ortayazı;Garip;6
Ortayazı;Uluğbey;16
Ortayazı;Gençali;15
Ortayazı;Eskigençali;18
Garip;Gençali;14
Garip;Eskigençali;16
Garip;Akkeçili;7
Akkeçili;Barla;22
Akkeçili;Bağören;25
Akkeçili;Beydere;31
Akkeçili;Harmanören;42
Akkeçili;Büyükgökçeli;40
Akkeçili;Küçükgökçeli;42
Akkeçili;Eğirdir;40
Barla;Bağören;5
Barla;Beydere;13
Barla;Harmanören;25
Barla;Büyükgökçeli;23
Barla;Küçükgökçeli;25
Barla;Eğirdir;22
Gençali;Eskigençali;9
Gençali;Taşevi;11
Taşevi;Aşağıkaşıkara;7
Taşevi;Yukarıkaşıkara;13
Taşevi;Aşağıtırtar;18
Taşevi;Yukarıtırtar;15
Taşevi;Gökçeali;15
Taşevi;Kumdanlı;17
Aşağıkaşıkara;Yukarıkaşıkara;12
Aşağıkaşıkara;Aşağıtırtar;12
Aşağıkaşıkara;Yukarıtırtar;13
Aşağıkaşıkara;Gökçeali;13
Aşağıkaşıkara;Kumdanlı;14
Yukarıkaşıkara;Aşağıtırtar;15
Yukarıkaşıkara;Yukarıtırtar;16
Yukarıkaşıkara;Gökçeali;16
Yukarıtırtar;Tokmacık;9
Yukarıtırtar;Akçaşaryalvaç;13
Gökçeali;Kumdanlı;5
Kumdanlı;Celeptaş;4
Kumdanlı;Mısırlı;7
Kumdanlı;Kırkbaş;9
Kumdanlı;İleği;11
Kumdanlı;Sücüllü;17
Kumdanlı;Terziler;17
Kumdanlı;Yalvaç;18
Celeptaş;Eyüpleryalvaç;5
Celeptaş;İleği;9
Celeptaş;Mısırlı;6
Celeptaş;Kırkbaş;8
Celeptaş;Sücüllü;17
Celeptaş;Terziler;16
Celeptaş;Yalvaç;17
Mısırlı;İleği;13
Mısırlı;Sücüllü;19
Mısırlı;Terziler;10
Mısırlı;Yalvaç;19
Mısırlı;Körküler;4
Mısırlı;Kırkbaş;3
Kırkbaş;Körküler;4
Körküler;Sağırköy;6
Körküler;Ayvalı;3
Körküler;Terziler;6
Ayvalı;Terziler;7
Ayvalı;Yarıkkaya;6
Yarıkkaya;Çamharman;6
Yarıkkaya;Çakırçal;3
Çakırçal;Çamharman;5
Çamharman;Bağlarbaşı;2
Bağlarbaşı;Terziler;5
Bağlarbaşı;Sücüllü;6
Terziler;Sücüllü;6
Terziler;Yalvaç;10
Terziler;İleği;10
Sücüllü;Yalvaç;6
Sücüllü;İleği;11
Yalvaç;Hisarardı;4
Yalvaç;Saluryalvaç;3
Yalvaç;Sofularyalvaç;3
Yalvaç;Özgüney;9
Yalvaç;Özbayat;8
Yalvaç;Kuyucakyalvaç;10
Yalvaç;Altıkapı;8
Saluryalvaç;Kurusarı;7
Saluryalvaç;Yağcılar;6
Saluryalvaç;Sofularyalvaç;2
Sofularyalvaç;Yağcılar;5
Sofularyalvaç;Hüyüklü;7
Sofularyalvaç;Özgüney;8
Sofularyalvaç;Özbayat;7
Sofularyalvaç;Kuyucakyalvaç;9
Sofularyalvaç;Altıkapı;7
Özgüney;Özbayat;1
Özgüney;Altıkapı;10
Özgüney;Kuyucakyalvaç;6
Özbayat;Altıkapı;9
Özbayat;Kuyucakyalvaç;5
Kuyucakyalvaç;Altıkapı;5
Kuyucakyalvaç;Bağkonak;6
Kuyucakyalvaç;Çetince;10
Kuyucakyalvaç;Dedeçam;22
Kuyucakyalvaç;Göksöğüt;16
Kuyucakyalvaç;Şarkikaraağaç;23
Bağkonak;Kozluçay;3
Bağkonak;Çetince;10
Bağkonak;Dedeçam;20
Bağkonak;Göksöğüt;15
Bağkonak;Şarkikaraağaç;21
Kozluçay;Çetince;9
Kozluçay;Dedeçam;4
Kozluçay;Göksöğüt;11
Kozluçay;Şarkikaraağaç;18
Dedeçam;Göksöğüt;10
Dedeçam;Şarkikaraağaç;12
Dedeçam;Çetince;17
Muratbağı;Çarıksaraylar;6
Muratbağı;Şarkikaraağaç;6
Göksöğüt;Koruyaka;4
Göksöğüt;Örenköy;6
Göksöğüt;Şarkikaraağaç;11
Göksöğüt;Çetince;13
Koruyaka;Çetince;5
Koruyaka;Keçili;7
Koruyaka;Örenköy;6
Koruyaka;Kozluçay;12
Koruyaka;Bağkonak;15
Koruyaka;Kuyucakyalvaç;17
Koruyaka;Dedeçam;21
Koruyaka;Şarkikaraağaç;22
Çetince;Bahtiyar;6
Altıkapı;Bahtiyar;6
Bahtiyar;Madenli;7
Madenli;Eğirler;2
Madenli;Bağıllıgelendost;9
Madenli;Balcı;9
Madenli;Keçili;9
Eğirler;Hüyüklü;5
Hüyüklü;Yağcılar;2
Hüyüklü;Kurusarı;5
Yağcılar;Kurusarı;9
Kurusarı;İleği;4
Kurusarı;Eyüpleryalvaç;4
Kurusarı;Akçaşaryalvaç;3
Eyüpleryalvaç;İleği;4
Akçaşaryalvaç;Tokmacık;6
Tokmacık;Çaltıgelendost;4
Çaltıgelendost;Köke;6
Köke;Afşar;5
Köke;Yenice;6
Köke;Akdağ;5
Afşar;Yenice;2
Afşar;Gelendost;4
Gelendost;Bağıllıgelendost;4
Gelendost;Yaka;3
Gelendost;Hacılar;11
Gelendost;Balcı;12
Yaka;Hacılar;13
Yaka;Balcı;10
Yaka;Bağıllıgelendost;5
Bağıllıgelendost;Balcı;8
Bağıllıgelendost;Madenli;8
Balcı;Keçili;8
Balcı;Yenicekale;11
Yenicekale;Örenköy;8
Yenicekale;Keçili;8
Yenicekale;Yakaemir;8
Yenicekale;Koruyaka;10
Örenköy;Yakaemir;2
Yakaemir;Çavundur;4
Yakaemir;Çiçekpınar;6
Yakaemir;Ördekci;2
Çavundur;Ördekci;5
Çavundur;Çiçekpınar;5
Ördekci;Fakılar;4
Ördekci;Salur;6
Ördekci;Çiçekpınar;7
Şarkikaraağaç;Çiçekpınar;4
Şarkikaraağaç;Çarıksaraylar;8
Şarkikaraağaç;Aslandoğmuş;9
Şarkikaraağaç;Başdeğirmen;8
Şarkikaraağaç;Köprüköy;12
Şarkikaraağaç;Aşağıdinek;9
Şarkikaraağaç;Arak;7
Şarkikaraağaç;Beyköy;3
Şarkikaraağaç;Çaltı;6
Şarkikaraağaç;Yukarıdinek;16
Şarkikaraağaç;Yassıbel;20
Şarkikaraağaç;Kıyakdede;20
Çarıksaraylar;Aslandoğmuş;5
Aslandoğmuş;Köprüköy;2
Köprüköy;Başdeğirmen;3
Köprüköy;Aşağıdinek;4
Köprüköy;Arak;6
Başdeğirmen;Aşağıdinek;3
Başdeğirmen;Arak;5
Aşağıdinek;Yukarıdinek;1
Aşağıdinek;Arak;5
Yukarıdinek;Arak;6
Yukarıdinek;Yassıbel;14
Yukarıdinek;Kıyakdede;13
Yukarıdinek;Çaltı;12
Arak;Çaltı;5
Arak;Kıyakdede;14
Arak;Yassıbel;14
Çaltı;Beyköy;2
Çaltı;Karayaka;18
Beyköy;Karayaka;17
Yassıbel;Karayaka;6
Yassıbel;Kıyakdede;7
Karayaka;Yeniköyşarkikaraağaç;6
Yeniköyşarkikaraağaç;Çeltek;6
Yeniköyşarkikaraağaç;Armutlu;5
Çiçekpınar;Fakılar;3
Fakılar;Salur;3
Fakılar;Çeltek;4
Çeltek;Armutlu;2
Çeltek;Salur;4
Salur;Armutlu;10
Salur;Belceğiz;8
Salur;Sarıkaya;12
Sarıkaya;Gedikli;6
Sarıkaya;Belceğiz;6
Hacılar;Esinyurt;2
Esinyurt;Yeşilköy;6
Esinyurt;Sarıidris;12
Esinyurt;Mahmatlar;13
Yeşilköy;Sarıidris;7
Sarıidris;Mahmatlar;13
Sarıidris;Bağcık;6
Bağcık;Gökçehöyük;3
Gökçehöyük;Yılgıncak;7
Gökçehöyük;Sorkuncak;14
Gökçehöyük;Göktaş;16
Gökçehöyük;Mahmatlar;23
Gökçehöyük;Bağlar;16
Gökçehöyük;Çayköy;17
Gökçehöyük;Çay;18
Gökçehöyük;Havutlu;11
Yılgıncak;Sorkuncak;8
Yılgıncak;Göktaş;10
Yılgıncak;Mahmatlar;17
Yılgıncak;Bağlar;10
Yılgıncak;Çayköy;11
Yılgıncak;Çay;12
Yılgıncak;Havutlu;14
Mahmatlar;Sorkuncak;17
Mahmatlar;Göktaş;13
Mahmatlar;Bağlar;14
Mahmatlar;Çayköy;15
Mahmatlar;Çay;16
Göktaş;Bağlar;4
Göktaş;Çayköy;5
Göktaş;Çay;6
Sorkuncak;Göktaş;10
Sorkuncak;Bağlar;11
Sorkuncak;Çayköy;11
Sorkuncak;Çay;12
Yılanlı;Havutlu;6
Yılanlı;Sofular;5
Yılanlı;Akçaşar;4
Yılanlı;Kösre;6
Yılanlı;Pazarköy;5
Yılanlı;Aksu;7
Sofular;Akçaşar;7
Sofular;Aksu;10
Akçaşar;Aksu;4
Kösre;Pazarköy;2
Kösre;Aksu;3
Pazarköy;Bağıllı;2
Pazarköy;Közköy;14
Pazarköy;Sipahiler;18
Pazarköy;Belence;24
Közköy;Sipahiler;8
Közköy;Belence;12
Sipahiler;Kuzca;6
Sipahiler;Sağrak;12
Sağrak;Yeniköy;6
Sağrak;Boğazköy;3
Boğazköy;Karadiken;8
Boğazköy;Hacıahmetler;5
Boğazköy;Sütçüler;7
Karadiken;Akbelenli;10
Karadiken;Aşağıgökdere;20
Karadiken;Yeşilyurtsütçüler;16
Karadiken;Şeyhler;21
Karadiken;Çandır;24
Karadiken;Melikler;25
Karadiken;Sütçüler;27
Kırıntı;Akbelenli;10
Akbelenli;Aşağıgökdere;12
Akbelenli;Yeşilyurtsütçüler;16
Akbelenli;Şehler;22
Akbelenli;Çandır;20
Akbelenli;Melikler;25
Akbelenli;Sütçüler;20
Aşağıgökdere;Yeşilyurtsütçüler;20
Aşağıgökdere;Şeyhler;26
Aşağıgökdere;Çandır;26
Aşağıgökdere;Melikler;29
Aşağıgökdere;Sütçüler;33
Yeşilyurtsütçüler;Sütçüler;30
Yeşilyurtsütçüler;Çandır;14
Yeşilyurtsütçüler;Şeyhler;11
Yeşilyurtsütçüler;Melikler;14
Şeyhler;Sütçüler;44
Şeyhler;Melikler;9
Şeyhler;Çandır;6
Melikler;Çandır;8
Çandır;Sütçüler;21
Sütçüler;Yeşildere;4
Sütçüler;Pınarköy;6
Sütçüler;Belen;5
Sütçüler;Çobanisa;8
Hacıahmetler;Belen;8
Hacıahmetler;Sarayköy;5
Yeşildere;Bekirler;8
Yeşildere;Gümü;15
Bekirler;Gümü;7
Gümü;Sarımehmetler;3
Sarımehmetler;Hacıaliler;16
Sarımehmetler;Pınarköy;9
Belen;Pınarköy;3
Belen;Çobanisa;4
Çobanisa;Hacıaliler;5
Çobanisa;Beydili;10
Kuzca;Bucakdere;30
Kuzca;İbişler;31
Kuzca;İncidere;22
Kuzca;Darıbükü;35
Kuzca;Yeniköy;6
Kuzca;Sarayköy;19
Yeniköy;İncidere;24
Yeniköy;Bucakdere;32
Yeniköy;İbişler;33
Yeniköy;Darıbükü;37
Yeniköy;Sarayköy;21
Sarayköy;İncidere;26
Sarayköy;Bucakdere;22
Sarayköy;İbişler;34
Sarayköy;Darıbükü;38
İncidere;Bucakdere;21
İncidere;Darıbükü;6
İncidere;İbişler;22
İncidere;Güldallı;9
İncidere;Belence;14
Bucakdere;Darıbükü;14
Bucakdere;İbişler;9
İbişler;Darıbükü;8
İbişler;Güldallı;13
İbişler;Aşağıyaylabel;13
İbişler;Yukarıyaylabel;16
İbişler;Asagikartoz;9
İbişler;Kesme;19
Güldallı;Belence;20
Güldallı;Yukarıyaylabel;20
Güldallı;Asagikartoz;17
Güldallı;Kesme;27
Güldallı;Aşağıyaylabel;21
Yukarıyaylabel;Aşağıyaylabel;23
Yukarıyaylabel;Asagikartoz;19
Yukarıyaylabel;Kesme;30
Aşağıyaylabel;Asagikartoz;3
Aşağıyaylabel;Kesme;17
Kesme;Çukurca;8
Belence;Koçular;17
Közköy;Koçular;17
Aksu;Karağı;6
Karağı;Koçular;13
Karağı;Koçular;14
Karağı;Terziler;14
Karağı;Yakaafşar;14
Koçular;Terziler;6
Koçular;Yakaafşar;5
Koçular;Katipköy;2
Katipköy;Terziler;7
Katipköy;Yakaafşar;6
Katipköy;Karacahisar;6
Karacahisar;Eldere;11
Terziler;Yakaafşar;3
Yakaafşar;Elecik;3
Yakaafşar;Yakaköy;8
Elecik;Yakaköy;6
Yakaköy;Yenişarbademli;20
Yenişarbademli;Yenice;3
Yenice;Gölkonak;2
Yenice;Pınarbaşı;1